"accession"	"organism"	"isolation_source"	"host"	"collected_by"	"mol_type"	"collection_date"	"isolate"	"db_xref"	"country"	"ids"
"KR105312"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"10-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5617.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G5617"
"KR105313"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"11-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5640.1"	"taxon:186538"	"Sierra Leone"	"G5640"
"KR105314"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"11-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5644.1"	"taxon:186538"	"Sierra Leone"	"G5644"
"KR105315"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"11-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5647.1"	"taxon:186538"	"Sierra Leone"	"G5647"
"KR105316"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"13-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5684.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G5684"
"KR105317"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"13-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5685.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G5685"
"KR105318"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"14-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5691.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G5691"
"KR105319"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"15-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5723.1"	"taxon:186538"	"Sierra Leone: Bonthe"	"G5723"
"KR105320"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"16-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5731.1"	"taxon:186538"	"Sierra Leone: Moyamba"	"G5731"
"KR105321"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"16-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5737.1"	"taxon:186538"	"Sierra Leone: Moyamba"	"G5737"
