"accession"	"organism"	"isolation_source"	"host"	"collected_by"	"mol_type"	"collection_date"	"isolate"	"db_xref"	"country"	"ids"
"KR105247"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"18-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4415.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4415"
"KR105248"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"18-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4416.1"	"taxon:186538"	"Sierra Leone: Bo"	"G4416"
"KR105249"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"19-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4419.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4419"
"KR105250"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"19-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4422.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4422"
"KR105251"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"19-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4423.1"	"taxon:186538"	"Sierra Leone: Kailahun"	"G4423"
"KR105252"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"19-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4424.1"	"taxon:186538"	"Sierra Leone: Kailahun"	"G4424"
"KR105253"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"20-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4431.1"	"taxon:186538"	"Sierra Leone: Bo"	"G4431"
"KR105254"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"20-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4433.1"	"taxon:186538"	"Sierra Leone: Kailahun"	"G4433"
"KR105255"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"20-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4437.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4437"
"KR105256"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"21-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4445.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4445"
"KR105257"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"21-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4450.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4450"
"KR105258"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"21-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4454.1"	"taxon:186538"	"Sierra Leone: Kailahun"	"G4454"
"KR105259"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"05-Aug-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4465.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4465"
"KR105260"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"22-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4466.1"	"taxon:186538"	"Sierra Leone: Bo"	"G4466"
"KR105261"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"26-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4527.2"	"taxon:186538"	"Sierra Leone: Kenema"	"G4527"
"KR105262"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"01-Aug-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4683.1"	"taxon:186538"	"Sierra Leone"	"G4683"
"KR105263"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"03-Aug-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4698.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4698"
"KR105264"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"03-Aug-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4701.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4701"
"KR105265"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"03-Aug-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4702.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4702"
"KR105266"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"04-Aug-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4717.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4717"
"KR105267"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"04-Aug-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4725.1"	"taxon:186538"	"Sierra Leone: Moyamba"	"G4725"
"KR105268"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"05-Aug-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4730.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4730"
"KR105269"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"05-Aug-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4736.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4736"
"KR105270"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"05-Aug-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4748.1"	"taxon:186538"	"Sierra Leone"	"G4748"
"KR105271"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"05-Aug-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4751.1"	"taxon:186538"	"Sierra Leone"	"G4751"
"KR105272"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"09-Aug-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4837.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4837"
"KR105273"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"10-Aug-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4856.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4856"
"KR105274"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"10-Aug-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4861.1"	"taxon:186538"	"Sierra Leone"	"G4861"
"KR105275"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"10-Aug-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4868.1"	"taxon:186538"	"Sierra Leone"	"G4868"
"KR105276"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"11-Aug-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4886.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4886"
"KR105277"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"12-Aug-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4907.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4907"
"KR105278"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"13-Aug-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4937.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4937"
